occ,statecensus,Fraction of Workforce,description
2010,86,1.28e-4,Social workers
9350,86,1.8e-5,Parking lot attendants
4000,86,5.2e-5,Chefs and head cooks
3300,86,4.8e-5,Clinical laboratory technologists and technicians
0300,86,2.4e-5,Engineering managers
3050,86,3.6e-5,Pharmacists
7340,86,7.9e-5,"Maintenance and repair workers, general"
7030,86,4e-6,Avionics technicians
7120,86,7e-6,Electronic home entertainment equipment installers and repairers
2540,86,1.13e-4,Teacher assistants
1530,86,1.09e-4,"Engineers, all other"
5550,86,5.4e-5,Postal service mail carriers
7750,86,9.5e-5,Miscellaneous assemblers and fabricators
4200,86,3.9e-5,First-line supervisors/managers of housekeeping and janitorial workers
0735,86,3.7e-5,Market research analysts and marketing specialists
7720,86,2.4e-5,"Electrical, electronics, and electromechanical assemblers"
6440,86,7.5e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
2630,86,1.01e-4,Designers
2200,86,1.41e-4,Postsecondary teachers
2145,86,5e-5,Paralegals and legal assistants
1010,86,7.2e-5,Computer programmers
9620,86,3.64e-4,"Laborers and freight, stock, and material movers, hand"
5000,86,2.25e-4,First-line supervisors/managers of office and administrative support workers
9140,86,1.12e-4,Taxi drivers and chauffeurs
8810,86,2.1e-5,Painting workers
2550,86,2.7e-5,"Other education, training, and library workers"
0860,86,2.5e-5,Insurance underwriters
1910,86,5e-6,Biological technicians
0136,86,3.6e-5,Human Resources Managers
8030,86,3.7e-5,Machinists
1965,86,1.3e-5,"Miscellaneous life, physical, and social science technicians"
7200,86,1.06e-4,Automotive service technicians and mechanics
4520,86,1.22e-4,Miscellaneous personal appearance workers
1006,86,7.9e-5,Computer systems analysts
3645,86,1.28e-4,Medical assistants
4050,86,3.2e-5,"Combined food preparation and serving workers, including fast food"
1400,86,1.6e-5,Computer hardware engineers
3230,86,5.2e-5,Speech-language pathologists
0850,86,7.2e-5,Personal financial advisors
0650,86,2.5e-5,Training and development specialists
3655,86,3.5e-5,"Miscellaneous healthcare support occupations, including medical equipment preparers"
9050,86,3.1e-5,Flight attendants
5330,86,3.8e-5,Loan interviewers and clerks
2440,86,1e-5,Library technicians
4620,86,5.9e-5,Recreation and fitness workers
0220,86,1.33e-4,Construction managers
4320,86,7e-6,First-line supervisors/managers of personal service workers
7000,86,2.6e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
0630,86,8.5e-5,Human resource workers
8320,86,2.6e-5,Sewing machine operators
7260,86,1.5e-5,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
8650,86,7e-6,"Crushing, grinding, polishing, mixing, and blending workers"
6230,86,1.87e-4,Carpenters
9150,86,8e-6,"Motor vehicle operators, all other"
4600,86,1.13e-4,Child care workers
4820,86,2.3e-5,"Securities, commodities, and financial services sales agents"
3245,86,2.8e-5,"Therapists, all other"
4500,86,2e-5,Barbers
0540,86,6.5e-5,"Claims adjusters, appraisers, examiners, and investigators"
7210,86,3.6e-5,Bus and truck mechanics and diesel engine specialists
3648,86,9e-6,Veterinary assistants and labratory animal caretakers
1460,86,1.6e-5,Mechanical engineers
8220,86,2.1e-5,"Metalworkers and plastic workers,all others"
0340,86,2.7e-5,Lodging managers
2750,86,1.3e-5,"Musicians, singers, and related workers"
3160,86,2.7e-5,Physical therapists
2600,86,5.8e-5,Artists and related workers
9000,86,3.1e-5,"Supervisors, transportation and material moving workers"
4140,86,4.9e-5,Dishwashers
6765,86,6e-6,Miscellaneous construction and related workers
3060,86,1.13e-4,Physicians and surgeons
3250,86,5e-6,Veterinarians
3630,86,3.6e-5,Massage therapists
3730,86,7e-6,"Supervisors, protective service workers, all other"
4240,86,2e-5,Pest control workers
5940,86,1.04e-4,"Office and administrative support workers, all other"
0520,86,4.3e-5,"Wholesale and retail buyers, except farm products"
5100,86,3.2e-5,Bill and account collectors
3646,86,6e-6,Medical transcriptionists
3500,86,2.5e-5,Licensed practical and licensed vocational nurses
3820,86,3.8e-5,Detectives and criminal investigators
6050,86,1.29e-4,Miscellaneous agricultural workers
1410,86,5.1e-5,Electrical and electronics engineers
9640,86,8.5e-5,"Packers and packagers, hand"
4300,86,1.2e-5,First-line supervisors/managers of gaming workers
5020,86,1e-5,Telephone operators
2300,86,4.8e-5,Preschool and kindergarten teachers
7315,86,5.7e-5,"Heating, air conditioning, and refrigeration mechanics and installers"
3310,86,1.8e-5,Dental hygienists
5840,86,7.8e-5,Insurance claims and policy processing clerks
5030,86,1.2e-5,"Communications equipment operators, all other"
3320,86,4.8e-5,Diagnostic related technologists and technicians
4540,86,3.2e-5,Tour and travel guides
4400,86,2.1e-5,Gaming services workers
0600,86,3.7e-5,Cost estimators
8450,86,4e-6,Upholsterers
3740,86,7.2e-5,Fire fighters
0140,86,3e-5,Industrial production managers
1320,86,3.6e-5,Aerospace engineers
5250,86,2.1e-5,"Eligibility interviewers, government programs"
4530,86,2.9e-5,"Baggage porters, bellhops, and concierges"
0530,86,5.3e-5,"Purchasing agents, except wholesale, retail, and farm products"
7800,86,2.2e-5,Bakers
0100,86,3e-5,Administrative services managers
4465,86,1e-6,"Morticians, undertakers, and funeral directors (2011 forward)"
9360,86,2.2e-5,Service station attendants
5320,86,2.2e-5,"Library assistants, clerical"
7740,86,1e-5,Structural metal fabricators and fitters
9120,86,5.5e-5,Bus drivers
1310,86,3e-6,"Surveyors, cartographers, and photogrammetrists"
1560,86,1e-6,Surveying and mapping technicians
7630,86,4.4e-5,"Other installation, maintenance, and repair workers"
7150,86,3.2e-5,Automotive body and related repairers
9720,86,2e-5,Refuse and recyclable material collectors
7840,86,4e-6,Food batchmakers
5560,86,8e-6,"Postal service mail sorters, processors, and processing machine operators"
2040,86,2.2e-5,Clergy
0640,86,9e-6,"Compensation, benefits, and job analysis specialists"
0950,86,6e-6,"Financial specialists, all other"
7010,86,2.2e-5,"Computer, automated teller, and office machine repairers"
5510,86,6.3e-5,Couriers and messengers
2160,86,3.4e-5,Miscellaneous legal support workers
0565,86,5.5e-5,Compliance officers
3400,86,3.4e-5,Emergency medical technicians and paramedics
0205,86,3.7e-5,"Farmers, Ranchers, and Other Agricultural Managers"
5300,86,2.8e-5,"Hotel, motel, and resort desk clerks"
2760,86,7e-6,"Entertainers and performers, sports and related workers, all other"
4900,86,7e-6,"Models, demonstrators, and product promoters"
9520,86,4e-6,"Dredge, excavating, and loading machine operators"
3710,86,1.3e-5,First-line supervisors/managers of police and detectives
8965,86,1.03e-4,"Production workers, all other"
7430,86,1.3e-5,Precision instrument and equipment repairers
3640,86,3.7e-5,Dental assistants
0420,86,4.9e-5,Social and community service managers
8800,86,1.8e-5,Packaging and filling machine operators and tenders
4430,86,4.3e-5,Miscellaneous entertainment attendants and related workers
6005,86,1.1e-5,"First-line supervisors of farming, fishing, and forestry workers"
6210,86,2e-6,Boilermakers
4800,86,3.2e-5,Advertising sales agents
5540,86,3e-6,Postal service clerks
1106,86,4e-6,Computer network architects
6820,86,4e-6,"Earth drillers, except oil and gas"
4750,86,2.2e-5,Parts salespersons
4760,71,1.94e-4,Retail salespersons
2300,71,5.3e-5,Preschool and kindergarten teachers
9610,71,1.8e-5,Cleaners of vehicles and equipment
0140,71,1.1e-5,Industrial production managers
5850,71,1e-6,"Mail clerks and mail machine operators, except postal service"
9600,71,3.3e-5,Industrial truck and tractor operators
3600,71,1.14e-4,"Nursing, psychiatric, and home health aides"
4020,71,1.4e-4,Cooks
5860,71,7.6e-5,"Office clerks, general"
1020,71,3.5e-5,"Software developers, applications and systems software"
9620,71,1.41e-4,"Laborers and freight, stock, and material movers, hand"
0430,71,1.81e-4,"Managers, all other"
0650,71,6e-6,Training and development specialists
2330,71,1.3e-5,Special education teachers
4250,71,7.6e-5,Grounds maintenance workers
0910,71,2.6e-5,Loan counselors and officers
4920,71,6.3e-5,Real estate brokers and sales agents
1006,71,2e-5,Computer systems analysts
1760,71,4e-6,"Physical scientists, all other"
0010,71,5e-5,Chief executives
8965,71,1.03e-4,"Production workers, all other"
4000,71,9e-6,Chefs and head cooks
3500,71,5.6e-5,Licensed practical and licensed vocational nurses
4650,71,7e-6,"Personal care and service workers, all other"
1107,71,4e-5,"Computer occupations, all other"
2540,71,3.9e-5,Teacher assistants
2310,71,2.18e-4,Elementary and middle school teachers
4220,71,1.22e-4,Janitors and building cleaners
6355,71,5e-5,Electricians
2010,71,3.3e-5,Social workers
0735,71,1.5e-5,Market research analysts and marketing specialists
2910,71,4e-6,Photographers
8740,71,4.3e-5,"Inspectors, testers, sorters, samplers, and weighers"
0630,71,2.7e-5,Human resource workers
6260,71,1.16e-4,Construction laborers
4010,71,4e-5,First-line supervisors/managers of food preparation and serving workers
4720,71,1.72e-4,Cashiers
0110,71,2.2e-5,Computer and information systems managers
4050,71,2.2e-5,"Combined food preparation and serving workers, including fast food"
2000,71,6.2e-5,Counselors
4850,71,7.7e-5,"Sales representatives, wholesale and manufacturing"
0850,71,7e-6,Personal financial advisors
1360,71,1.9e-5,Civil engineers
4350,71,9e-6,Nonfarm animal caretakers
1050,71,1.1e-5,Computer support specialists
7855,71,6.1e-5,"Food processing workers, all other"
5250,71,5e-6,"Eligibility interviewers, government programs"
4210,71,8e-6,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers"
4230,71,8.9e-5,Maids and housekeeping cleaners
3255,71,2.5e-4,Registered nurses
2100,71,4.2e-5,"Lawyers, Judges, magistrates, and other judicial workers"
4840,71,2.9e-5,"Sales representatives, services, all other"
4700,71,2e-4,First-line supervisors/managers of retail sales workers
2720,71,1.6e-5,"Athletes, coaches, umpires, and related workers"
9130,71,2.27e-4,Driver/sales workers and truck drivers
2340,71,6.6e-5,Other teachers and instructors
5110,71,2.4e-5,Billing and posting clerks and machine operators
0136,71,1.2e-5,Human Resources Managers
0640,71,4e-6,"Compensation, benefits, and job analysis specialists"
0600,71,8e-6,Cost estimators
0050,71,4.6e-5,Marketing and sales managers
5000,71,6.3e-5,First-line supervisors/managers of office and administrative support workers
0420,71,1.4e-5,Social and community service managers
3060,71,6.1e-5,Physicians and surgeons
9140,71,1.9e-5,Taxi drivers and chauffeurs
0710,71,2.1e-5,Management analysts
5940,71,3.3e-5,"Office and administrative support workers, all other"
2200,71,6.9e-5,Postsecondary teachers
1740,71,6e-6,Environmental scientists and geoscientists
7630,71,9e-6,"Other installation, maintenance, and repair workers"
0230,71,4.7e-5,Education administrators
0530,71,2.1e-5,"Purchasing agents, except wholesale, retail, and farm products"
2860,71,3e-6,Miscellaneous media and communications workers
4810,71,3.8e-5,Insurance sales agents
2320,71,4.9e-5,Secondary school teachers
1220,71,3e-6,Operations research analysts
3649,71,6e-6,Phlebotmists
8620,71,1.1e-5,Water and liquid waste treatment plant and system operators
0800,71,8.3e-5,Accountants and auditors
7020,71,2e-6,Radio and telecommunications equipment installers and repairers
7410,71,1.1e-5,Electrical power-line installers and repairers
8140,71,6.2e-5,"Welding, soldering, and brazing workers"
8910,71,1e-6,Etchers and engravers
5610,71,3.6e-5,"Shipping, receiving, and traffic clerks"
9640,71,3.3e-5,"Packers and packagers, hand"
5700,71,1.18e-4,Secretaries and administrative assistants
6200,71,4.4e-5,First-line supervisors/managers of construction trades and extraction workers
1240,71,4e-6,Miscellaneous mathematical science occupations
2600,71,7e-6,Artists and related workers
1010,71,2.4e-5,Computer programmers
7000,71,1.9e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
5400,71,5.3e-5,Receptionists and information clerks
3320,71,3e-5,Diagnostic related technologists and technicians
0220,71,4.7e-5,Construction managers
0310,71,7.8e-5,Food service managers
5620,71,9.5e-5,Stock clerks and order fillers
6230,71,1.11e-4,Carpenters
3930,71,3.4e-5,Security guards and gaming surveillance officers
4240,71,1.5e-5,Pest control workers
0540,71,1.5e-5,"Claims adjusters, appraisers, examiners, and investigators"
8300,71,1.2e-5,Laundry and dry-cleaning workers
4600,71,6e-5,Child care workers
2040,71,3.2e-5,Clergy
0120,71,4.2e-5,Financial managers
4030,71,5.9e-5,Food preparation workers
5240,71,1.31e-4,Customer service representatives
6440,71,4e-5,"Pipelayers, plumbers, pipefitters, and steamfitters"
0810,71,6e-6,Appraisers and assessors of real estate
2630,71,4.4e-5,Designers
7840,71,9e-6,Food batchmakers
1060,71,1e-5,Database administrators
4120,71,1.3e-5,"Food servers, nonrestaurant"
3220,71,1e-5,Respiratory therapists
3010,71,1e-5,Dentists
0840,71,9e-6,Financial analysts
1030,71,2e-6,Web developers
0160,71,2.1e-5,"Transportation, storage, and distribution managers"
4420,71,3e-6,"Ushers, lobby attendants, and ticket takers"
3000,71,1e-6,Chiropractors
0350,71,3.3e-5,Medical and health services managers
6050,71,7e-5,Miscellaneous agricultural workers
1650,71,5e-6,Medical scientists
5120,71,5.8e-5,"Bookkeeping, accounting, and auditing clerks"
2145,71,1.3e-5,Paralegals and legal assistants
3850,71,3.9e-5,Police and sheriff's patrol officers
7315,71,2.5e-5,"Heating, air conditioning, and refrigeration mechanics and installers"
1007,71,5e-6,Information security analysts
7200,71,5.7e-5,Automotive service technicians and mechanics
4710,71,6.1e-5,First-line supervisors/managers of non-retail sales workers
6520,71,9e-6,Sheet metal workers
5560,71,2e-6,"Postal service mail sorters, processors, and processing machine operators"
6765,71,3e-6,Miscellaneous construction and related workers
2016,71,4e-6,Social and human service assistants
4150,71,1.2e-5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4060,71,1.1e-5,"Counter attendants, cafeteria, food concession, and coffee shop"
0205,71,6.2e-5,"Farmers, Ranchers, and Other Agricultural Managers"
5510,71,8e-6,Couriers and messengers
4460,71,2e-6,Funeral service workers 
4200,71,1e-5,First-line supervisors/managers of housekeeping and janitorial workers
7700,71,5.3e-5,First-line supervisors/managers of production and operating workers
6940,71,1e-6,Other extraction workers
6330,71,4e-6,"Drywall installers, ceiling tile installers, and tapers"
5160,71,2.4e-5,Tellers
9240,71,1.3e-5,Railroad conductors and yardmasters
5020,71,1e-6,Telephone operators
3510,71,8e-6,Medical records and health information technicians
2025,71,1e-6,"Miscellaneous community and social service specialists, including health educators and community health workers"
4800,71,8e-6,Advertising sales agents
3040,71,4e-6,Optometrists
4110,71,1.12e-4,Waiters and waitresses
8030,71,1.6e-5,Machinists
3800,71,4.2e-5,"Bailiffs, correctional officers, and jailers"
4510,71,3.1e-5,"Hairdressers, hairstylists, and cosmetologists"
8650,71,1.1e-5,"Crushing, grinding, polishing, mixing, and blending workers"
7330,71,4.1e-5,Industrial and refractory machinery mechanics
